;Deal Number;Completed date;Acquiror name;Target name;Target country code;Target US SIC code(s);Deal type
147.;1909306373;10.11.2015;INTEL CAPITAL CORPORATION;SCHOOLOGY INC.;US;7372 / 7374;Minority stake unknown %
148.;1601241034;16.11.2010;INTEL CAPITAL CORPORATION;ANOBIT TECHNOLOGIES LTD;IL;3674;Minority stake unknown %
149.;131193;16.09.2002;INTEL CAPITAL CORPORATION;PANASAS INC.;US;3572;Minority stake unknown %
150.;83682;12.02.2001;INTEL CAPITAL CORPORATION;CAMBRIDGE POSITIONING SYSTEMS LTD;GB;7371 / 7372;Minority stake unknown %
151.;1909163997;04.11.2014;INTEL CAPITAL CORPORATION;STRATOSCALE LTD;IL;7371 / 7372;Minority stake unknown %
152.;78372;13.11.2000;INTEL CAPITAL CORPORATION;CAMBRIDGE SILICON RADIO LTD;GB;3663 / 3674 / 8731;Minority stake unknown %
153.;1633009653;27.06.2007;INTEL CAPITAL CORPORATION;CHINACACHE INTERNATIONAL HOLDINGS LTD;KY;7374;Minority stake unknown %
154.;1601416514;08.02.2013;INTEL CAPITAL CORPORATION;BIG SWITCH NETWORKS INC.;US;3661 / 7371 / 7372 / 7374;Minority stake unknown %
155.;533892;26.04.2007;INTEL CAPITAL CORPORATION;BEIJING BLUE IT TECHNOLOGIES CO LTD;CN;3661 / 3663 / 3669 / 7371 / 7372;Minority stake unknown %
156.;98030;16.10.2001;INTEL CAPITAL CORPORATION;CELOXICA HOLDINGS PLC;GB;7371 / 7372;Minority stake unknown %
157.;202482;16.10.2000;INTEL CAPITAL CORPORATION;NOVA CRYSTALS INC.;US;3672 / 3674 / 3675 / 3676 / 3677 / 3678 / 3679;Minority stake unknown %
158.;1601153696;25.01.2010;INTEL CAPITAL CORPORATION;CYMBET CORPORATION;US;3674 / 3691;Minority stake unknown %
159.;472495;30.08.2006;INTEL CAPITAL CORPORATION;WIRELESS SERVICES CORPORATION;US;7371 / 7372;Minority stake unknown %
160.;203105;22.04.2002;INTEL CAPITAL CORPORATION;T-NETWORKS INC.;US;3661 / 3663 / 3669;Minority stake unknown %
161.;373034;29.08.2005;INTEL CAPITAL CORPORATION;DIBCOM SA;FR;3679 / 4899;Minority stake unknown %
162.;1941149626;29.10.2018;INTEL CAPITAL CORPORATION;STARKWARE INDUSTRIES LTD;IL;7371 / 7372;Minority stake unknown %
163.;1909415623;15.03.2016;INTEL CAPITAL CORPORATION;SKYPORT SYSTEMS INC.;US;7373;Minority stake unknown %
164.;1909285459;16.03.2016;INTEL CAPITAL CORPORATION;STRIIM INC.;US;7374;Minority stake unknown %
165.;1909235657;20.05.2015;INTEL CAPITAL CORPORATION;COHO DATA INC.;US;3572;Minority stake unknown %
166.;1909003900;25.07.2013;INTEL CAPITAL CORPORATION;PROLEXIC TECHNOLOGIES INC.;US;7372 / 7374 / 7379;Minority stake unknown %
167.;1601287213;20.07.2011;INTEL CAPITAL CORPORATION;GAIKAI INC.;US;7372 / 7374;Minority stake unknown %
168.;1601240384;20.01.2011;INTEL CAPITAL CORPORATION;KABAM INC.;US;7374;Minority stake unknown %
169.;1601000701;03.06.2008;INTEL CAPITAL CORPORATION;VEOH NETWORKS INC.;US;7383 / 8231 / 8999;Minority stake unknown %
170.;556082;24.01.2008;INTEL CAPITAL CORPORATION;IGA WORLDWIDE INC.;US;7311 / 7379;Minority stake unknown %
171.;360045;12.07.2005;INTEL CAPITAL CORPORATION;MOTRICITY INC.;US;7372 / 7374;Minority stake unknown %
172.;260017;15.05.2000;INTEL CAPITAL CORPORATION;HELLOBRAIN.COM;US;8742 / 8748 / 8999;Minority stake unknown %
