;Deal Number;Completed date;Acquiror name;Target name;Target country code;Target US SIC code(s);Deal type
52.;1907157555;16.08.2016;TENCENT INDUSTRY WIN-WIN FUND;BEIJING CALORIES TECHNOLOGY CO., LTD;CN;7372;Minority stake unknown %
53.;1943063276;15.10.2018;TENCENT INDUSTRY WIN-WIN FUND;SHENZHEN QIANHAI LINKLOGIS FINANCIAL SERVICES CO., LTD;CN;7374 / 8742;Minority stake unknown %
54.;1943038288;01.04.2016;TENCENT INDUSTRY WIN-WIN FUND;FUTURE MOBILITY CORPORATION;KY;3711 / 8731;Minority stake 30%
55.;1943020133;08.02.2018;TENCENT INDUSTRY WIN-WIN FUND;SHANGHAI RUOYOU NETWORK TECHNOLOGY CO., LTD;CN;7372;Minority stake 20%
56.;1907091260;01.04.2014;TENCENT INDUSTRY WIN-WIN FUND;UXIN INTERNET (BEIJING) INFORMATION TECHNOLOGY CO., LTD;CN;7374;Minority stake unknown %
57.;1907081798;07.01.2015;TENCENT INDUSTRY WIN-WIN FUND;NANJING LINE0 ELECTRONIC BUSINESS CO., LTD;CN;7374;Minority stake unknown %
58.;1907234644;10.08.2017;TENCENT INDUSTRY WIN-WIN FUND;SHENZHEN QIANHAI LINKLOGIS FINANCIAL SERVICES CO., LTD;CN;7374 / 8742;Minority stake unknown %
59.;1909199108;31.05.2014;TENCENT INDUSTRY WIN-WIN FUND;GUANGZHOU QINGTIANZHU NETWORK TECHNOLOGY CO., LTD;CN;7371 / 7372 / 8999;Minority stake unknown %
60.;1943024196;20.03.2018;TENCENT INDUSTRY WIN-WIN FUND;BEIJING QIMENG EDUCATION TECHNOLOGY CO., LTD;CN;7372 / 8299;Minority stake 15%
61.;1943021149;05.03.2018;TENCENT INDUSTRY WIN-WIN FUND;BEIJING DUOZHI TECHNOLOGY CO., LTD;CN;7372 / 7374;Minority stake 15%
62.;1943005769;01.12.2017;TENCENT INDUSTRY WIN-WIN FUND;SHANGHAI YIKE INFORMATION TECHNOLOGY CO., LTD;CN;7374;Minority stake unknown %
